Artist,ArtistGender,Type
The Police,male,group
Fleetwood Mac,mixed,group
Blondie,mixed,group
MIKA,male,solo
The Beach Boys,male,group
The Beatles,male,group
U2,male,group
Lady Gaga,female,solo
Bear's Den,male,group
The Stone Roses,male,group
The Shapeshifters,male,group
One Direction,male,group
Plain White T's,male,group
The Goo Goo Dolls,male,group
The Kinks,male,group
Gengahr,male,solo
Hooton Tennis Club,male,group
Camera Obscura,mixed,group
Frankie Cosmos,female,solo
The Knack,male,group
Black Honey,mixed,group
Queens of the Stone Age,male,group
Little Comets,male,group
Jamie T,male,solo
Boy Azooga,male,solo
Joy Again,male,group
IDLES,male,group
Arctic Monkeys,male,group
Rod Stewart,male,solo
The Zutons,mixed,group
Eminem,male,solo
God Help The Girl,mixed,group
Mystery Jets,male,group
blink-182,male,group
The Ting Tings,mixed,group
Bananarama,female,group
Death Cab for Cutie,male,group
Lou Bega,male,solo
The Specials,male,group
The Modern Lovers,male,group
Mr Jukes,male,solo
Dexys Midnight Runners,mixed,group
Duck Sauce,male,group
The Rolling Stones,male,group
Tunng,mixed,group
Evadne Baker,female,solo
Basement Jaxx,male,group
Black Grape,male,group
Santana,mixed,group
The Velvet Underground,mixed,group
Hole,mixed,group
Destra,female,solo
The Fratellis,male,group
Yxng Bane,male,solo
The White Stripes,mixed,group
Suede,male,group
Sturgill Simpson,male,group
Spriguns,mixed,group
The National,male,group
Slowdive,mixed,group
The Raveonettes,mixed,group
Smoke,male,group
Iron Maiden,male,group
Air,male,group
The Owl Service,mixed,group
Pink Floyd,male,group
Rednex,mixed,group
Ruperts People,male,group
Pentangle,mixed,group
The Clientele,male,group
Weezer,male,group
First Aid Kit,female,group
Fairport Convention,mixed,group
"Bread, Love And Dreams",mixed,group
A Tribe Called Quest,male,group
Lou Reed,male,solo
Fountains Of Wayne,male,group
Josienne Clarke and Ben Walker,mixed,group
Groove Armada,male,group
Two Door Cinema Club,,group
Home,male,group
Real Estate,male,group
Get Well Soon,male,solo
Alvvays,mixed,group
STRFKR,male,group
Refused,male,group
Big Thief,mixed,group
Loyle Carner,male,solo
The Courtneys,female,group
Elbow,male,group
Taylor Swift,female,solo
